Character	Series
Black Widow (Ultimate)	Ultimate X-Men Vol. 5: Ultimate War (1999)
Moon Knight (Ultimate)	Ultimate Spider-Man (2000 - 2009)
Moon Knight (Ultimate)	Ultimate Spider-Man Vol. 14: Warriors (2005)
Black Knight	Alpha Flight (1983 - 1994)
Black Knight	Avengers (1996 - 1997)
Black Knight	Avengers (1963 - 1996)
Black Knight	Avengers (1998 - 2004)
Black Knight	Avengers Annual (1967 - 1994)
Black Knight	Avengers Assemble (2004)
Black Knight	Avengers Assemble Vol. 2 (2005)
Black Knight	Avengers Assemble Vol. 4 (2007)
Black Knight	Avengers Assemble Vol. 5 (2007)
Black Knight	Avengers Vol. 1: World Trust (2003)
Black Knight	Avengers: Galactic Storm Vol. 2 (2006)
Black Knight	Avengers: The Kang Dynasty (2002)
Black Knight	Defenders (1972 - 1986)
Black Knight	Doctor Strange, Sorcerer Supreme (1988 - 1996)
Black Knight	Earth X (1999)
Black Knight	Earth X (New (2006)
Black Knight	Excalibur (1988 - 1998)
Black Knight	Fantastic Four (1961 - 1998)
Black Knight	Fantastic Four Annual (1963 - 1994)
Black Knight	Fantastic Four Visionaries: John Byrne Vol. 7 (2007)
Titania	Avengers Academy (2010 - 2012)
Titania	Deadpool (1997 - 2002)
Titania	Fear Itself: Fellowship of Fear (2011)
Titania	Fear Itself: The Worthy (2011)
Titania	Iron Man 2.0 (2011)
Titania	Marvel Two-in-One (1974 - 1983)
Titania	She-Hulk (2004 - 2005)
Titania	She-Hulk Vol. 2: Superhuman Law (2005)
Cypher	New Mutants (2010 - 2012)
Cypher	New Mutants (2009 - 2011)
Nico Minoru	Runaways (2005 - 2008)
Nico Minoru	Runaways (2008 - 2009)
Nico Minoru	Runaways Vol. 4: True Believers (2005)
Nico Minoru	Runaways Vol. 6: Parental Guidance (2006)
Atlas (Team)	Avengers (1998 - 2004)
Atlas (Team)	Avengers Assemble Vol. 2 (2005)
Atlas (Team)	Avengers Assemble Vol. 3 (2006)
Atlas (Team)	Journey Into Mystery (1952 - 1966)
Atlas (Team)	Marvel Masterworks: The Mighty Thor Vol. 4 (2005)
Atlas (Team)	New Thunderbolts (2004 - 2006)
Atlas (Team)	New Thunderbolts Vol. 1: One Step Forward (2005)
Atlas (Team)	New Thunderbolts Vol. 2: Modern Marvels (2005)
Zzzax	Hulk (2008 - 2012)
Zzzax	Incredible Hulks (2009 - 2011)
Night Thrasher	Avengers (1998 - 2004)
Night Thrasher	Avengers Assemble Vol. 2 (2005)
Night Thrasher	New Warriors (2005)
Night Thrasher	New Warriors (2007 - 2009)
Night Thrasher	New Warriors: Reality Check (2006)
Night Thrasher	Thor (1966 - 1996)
Night Thrasher	X-Factor Annual (1986 - Present)
Night Thrasher	X-Force (1991 - 2004)
Doctor Octopus	Alias (2003)
Doctor Octopus	Alias Omnibus (2006)
Doctor Octopus	Amazing Spider-Man (1963 - 1998)
Doctor Octopus	Amazing Spider-Man (1999 - 2013)
Doctor Octopus	Amazing Spider-Man Annual (1964 - Present)
Doctor Octopus	Amazing Spider-Man Omnibus Vol. 1 (2007)
Doctor Octopus	Amazing Spider-Man Vol. 6 (2004)
Doctor Octopus	Avenging Spider-Man (2011 - Present)
Doctor Octopus	Invincible Iron Man (2008 - 2012)
Doctor Octopus	Marvel Masterworks: The Amazing Spider-Man Vol. 6 (2004)
Doctor Octopus	Peter Parker, the Spectacular Spider-Man (1976 - 1998)
Doctor Octopus	Point One (2011)
Doctor Octopus	Secret Wars (1984 - 1985)
Doctor Octopus	Shame Itself (2011)
Doctor Octopus	Spider-Man Blue (2004)
Doctor Octopus	Spider-Man's Tangled Web (2001 - 2003)
Doctor Octopus	Spider-Man's Tangled Web Vol. III (2002)
Doctor Octopus	Spider-Man/Doctor Octopus: Year One (2004)
Doctor Octopus	Spider-Man/Doctor Octopus: Year One (2005)
Doctor Octopus	Spider-Man: Birth of Venom (2007)
Sasquatch (Walter Langkowski)	Alpha Flight (2011 - 2012)
Sasquatch (Walter Langkowski)	Alpha Flight (1983 - 1994)
Sasquatch (Walter Langkowski)	Alpha Flight (2004 - 2005)
Sasquatch (Walter Langkowski)	Alpha Flight Classic Vol. 1 (2007)
Sasquatch (Walter Langkowski)	Alpha Flight Vol. 2: Waxing Poetic (2005)
Sasquatch (Walter Langkowski)	Black Panther (1998 - 2003)
Sasquatch (Walter Langkowski)	Deadpool (1997 - 2002)
Sasquatch (Walter Langkowski)	Deadpool Classic Vol. 1 (2008)
Sasquatch (Walter Langkowski)	Deadpool Vol. 1: Secret Invasion (2009 - Present)
Sasquatch (Walter Langkowski)	Doctor Strange, Sorcerer Supreme (1988 - 1996)
Sasquatch (Walter Langkowski)	Earth X (1999)
Sasquatch (Walter Langkowski)	Earth X (New (2006)
Sasquatch (Walter Langkowski)	Exiles (2001 - 2008)
Sasquatch (Walter Langkowski)	Exiles Vol. 3: Out of Time (2003)
Sasquatch (Walter Langkowski)	Exiles Vol. II: A World Apart (1999)
Sasquatch (Walter Langkowski)	Fantastic Four (1961 - 1998)
Sasquatch (Walter Langkowski)	G.L.a. (2005)
Sasquatch (Walter Langkowski)	G.L.a.: Misassembled (2005)
Sasquatch (Walter Langkowski)	Incredible Hulk (1962 - 1999)
Sasquatch (Walter Langkowski)	Infinity War (2005)
Spider-Man (Miles Morales)	Spider-Men (2012 - Present)
Spider-Man (Miles Morales)	Spider-Men (2012)
Spider-Man (Miles Morales)	Ultimate Comics Spider-Man (2011 - Present)
Spider-Man (Miles Morales)	Ultimate Comics Spider-Man (2009 - 2012)
Mandarin	Cable (1993 - 2002)
Mandarin	Heroes Reborn: Iron Man (2006)
Mandarin	Incredible Hulk (1962 - 1999)
Mandarin	Invincible Iron Man (2008 - 2012)
Mandarin	Iron Man (1968 - 1996)
Mandarin	Iron Man (1996 - 1998)
Mandarin	Iron Man (1998 - 2004)
Mandarin	Iron Man: Enter the Mandarin (2007)
Mandarin	Iron Man: The Dragon Seed Saga (2008)
Mandarin	Marvel Comics Presents (1988 - 1995)
Mandarin	Marvel Masterworks: Captain America Vol. (2005)
Mandarin	Marvel Masterworks: Captain America Vol. 1 - 2nd Edition (2003)
Mandarin	Marvel Masterworks: The Incredible Hulk Vol. 4 (2007)
Mandarin	Marvel Masterworks: The Invincible Iron Man Vol. (2005)
Mandarin	Marvel Masterworks: The Invincible Iron Man Vol. 1 (0000 - Present)
Mandarin	Marvel Masterworks: The Silver Surfer Vol. 2 (2003)
Mandarin	Marvel Super-Heroes (1967 - 1982)
Mandarin	Tales of Suspense (1959 - 1968)
Mandarin	Tales of Suspsnse Transport (1959 - 1968)
Mandarin	Uncanny X-Men (1963 - 2011)
Lilandra	Avengers (1998 - 2004)
Lilandra	Avengers Assemble Vol. 4 (2007)
Lilandra	Captain Marvel (2000 - 2004)
Lilandra	Captain Marvel Vol. 1: Nothing to Lose (2003)
Lilandra	Captain Marvel Vol. I (1999)
Lilandra	Classic X-Men (1986 - 1990)
Lilandra	Excalibur (1988 - 1998)
Lilandra	Fantastic Four (1961 - 1998)
Lilandra	Fantastic Four Visionaries: John Byrne Vol. 4 (2001 - Present)
Lilandra	Fantastic Four/Inhumans (2007)
Lilandra	Inhumans (2000)
Lilandra	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Lilandra	Marvel Visionaries: Chris Claremont (2005)
Lilandra	Marvel Visionaries: John Romita Jr. (2005)
Lilandra	Maximum Security (2000 - 2001)
Lilandra	Maximum Security: Dangerous Planet (2000)
Lilandra	New Avengers: Illuminati (2008)
Lilandra	New Avengers: Illuminati (2006 - 2008)
Lilandra	New Mutants Classic Vol. 1 (2006)
Lilandra	New X-Men (2006)
Bushwacker	Daredevil (1963 - 1998)
Bushwacker	Daredevil Vol. 6: Lowlife (2003)
Bushwacker	New Avengers (2004 - 2010)
Bushwacker	New Avengers Vol. 1: Breakout (2006)
Bushwacker	Punisher War Journal (1988 - 1995)
Whirlwind	Avengers (1963 - 1996)
Whirlwind	Avengers (1996 - 1997)
Whirlwind	Avengers (1998 - 2004)
Whirlwind	Avengers Annual (1967 - 1994)
Whirlwind	Avengers Assemble (2004)
Whirlwind	Avengers Legends Vol. II: George Perez Book I (1999)
Whirlwind	Avengers: The Kang Dynasty (2002)
Whirlwind	Avengers: X-Sanction (2011 - 2012)
Whirlwind	Heroes Reborn: Avengers (2006)
Whirlwind	Heroes Reborn: Iron Man (2006)
Whirlwind	Iron Man (1996 - 1998)
Whirlwind	Marvel Masterworks: The Avengers Vol. (2006)
Whirlwind	Spider-Man's Tangled Web (2001 - 2003)
Whirlwind	Spider-Man's Tangled Web Vol. III (2002)
Whirlwind	Uncanny X-Men (1963 - 2011)
Whirlwind	Women of Marvel Vol. 2 (2007)
Hemingway	Uncanny X-Men (1963 - 2011)
Cerebro	Marvel Masterworks: The X-Men Vol. 1 (2003)
Cerebro	Uncanny X-Men (1963 - 2011)
Cerebro	X-Men (1991 - 2001)
Count Nefaria	Captain America (1998 - 2002)
Count Nefaria	Marvel Masterworks: Captain America Vol. (2005)
Count Nefaria	Marvel Masterworks: Captain America Vol. 1 - 2nd Edition (2003)
Count Nefaria	Marvel Masterworks: The Invincible Iron Man Vol. (2005)
Count Nefaria	Marvel Masterworks: The Silver Surfer Vol. 2 (2003)
Count Nefaria	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Count Nefaria	Marvel Masterworks: The X-Men Vol. 3 DM Variant TPB (2011 - Present)
Count Nefaria	Marvel Masterworks: The X-Men Vol. 3 TPB (2011 - Present)
Count Nefaria	Marvel Masterworks: The X-Men Vol. III - 2nd Edition (1st) (2003)
Count Nefaria	Tales of Suspense (1959 - 1968)
Count Nefaria	Tales of Suspsnse Transport (1959 - 1968)
Count Nefaria	Uncanny X-Men (1963 - 2011)
Count Nefaria	Uncanny X-Men Omnibus Vol. 1 (2006)
Silvermane	Amazing Spider-Man (1963 - 1998)
Silvermane	Avengers (1998 - 2004)
Silvermane	Daredevil (1963 - 1998)
Silvermane	Marvel Masterworks: The Amazing Spider-Man Vol. (2006)
Silvermane	Peter Parker, the Spectacular Spider-Man (1976 - 1998)
Silvermane	Punisher War Journal (1988 - 1995)
Silvermane	Wolverine (1988 - 2003)
Silvermane	Wolverine/Deadpool: Weapon X (1999)
Orphan	X-Force (1991 - 2004)
Orphan	X-Force: Famous, Mutant & Mortal (2003)
Freak	Amazing Spider-Man (1999 - 2013)
Nightmare	Avengers: The Initiative (2007 - 2010)
Nightmare	Doctor Strange, Sorcerer Supreme (1988 - 1996)
Nightmare	Excalibur (1988 - 1998)
Nightmare	Incredible Hulk (1962 - 1999)
Nightmare	Marvel Comics Presents (1988 - 1995)
Nightmare	Marvel Fanfare (1982 - 1992)
Nightmare	Marvel Knights (2000 - 2001)
Nightmare	Marvel Masterworks: Doctor Strange Vol. 1 (2003)
Nightmare	Strange Tales (1951 - 1968)
Nightmare	Thor (1966 - 1996)
Quicksilver (Ultimate)	Ultimate Fallout (2011)
Quicksilver (Ultimate)	Ultimate War (2003)
Quicksilver (Ultimate)	Ultimate X-Men (2000 - 2009)
Quicksilver (Ultimate)	Ultimate X-Men MGC (2011)
Quicksilver (Ultimate)	Ultimate X-Men Ultimate Collection Book 1 (2006)
Quicksilver (Ultimate)	Ultimate X-Men Ultimate Collection Book 2 (2007)
Quicksilver (Ultimate)	Ultimate X-Men Vol. 4: Hellfire & Brimstone (2003 - Present)
Quicksilver (Ultimate)	Ultimate X-Men Vol. 5: Ultimate War (1999)
Quicksilver (Ultimate)	Ultimate X-Men Vol. 6: Return of the King (2003)
Quicksilver (Ultimate)	Ultimate X-Men Vol. I: The Tomorrow People (1999)
Quicksilver (Ultimate)	Ultimate X-Men Vol. II: Return to Weapon X (1999)
Quicksilver (Ultimate)	Ultimate X-Men Vol. VI: Return of the King (2003)
Quicksilver (Ultimate)	Ultimates 2 (2004 - 2006)
Quicksilver (Ultimate)	Ultimates 2 Vol. 2: Grand Theft America (2007)
Quicksilver (Ultimate)	Ultimates 3 (2007 - 2008)
Quicksilver (Ultimate)	Ultimates 3: Who Killed the Scarlet Witch? (2009 - Present)
Sabra	Excalibur (1988 - 1998)
Sabra	Marvel Super-Heroes (1992 - 1993)
Sabra	New X-Men (2006)
Sabra	New X-Men (2001 - 2004)
Sabra	New X-Men Vol. III: New Worlds (1999)
Sabra	Uncanny X-Men (1963 - 2011)
Sabra	X-Men (1991 - 2001)
Sabra	X-Men: Eve of Destruction (2005)
Sabra	X-Statix Vol. 4: X-Statix Vs. the Avengers (2004)
Hepzibah	Avengers: Galactic Storm Vol.1 (2006)
Hepzibah	Excalibur (1988 - 1998)
Hepzibah	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Hepzibah	New Mutants Classic Vol. 1 (2006)
Hepzibah	Uncanny X-Men (1963 - 2011)
Hepzibah	Uncanny X-Men Omnibus Vol. 1 (2006)
Hepzibah	Uncanny X-Men: Rise & Fall of the Shi'ar Empire (2007)
Hepzibah	Wolverine (1988 - 2003)
Hepzibah	Women of Marvel Vol. 2 (2007)
Hepzibah	Wonder Man (1991 - 1994)
Hepzibah	X-Factor (2005 - Present)
Hepzibah	X-Men Visionaries: Jim Lee (2002)
Dark Avengers	All-New Savage She-Hulk (2009)
Dark Avengers	Amazing Spider-Man (1999 - 2013)
Dark Avengers	Dark Avengers (2009 - 2010)
Dark Avengers	Mighty Avengers (2007 - 2010)
Dark Avengers	New Avengers (2010 - 2012)
Dark Avengers	Secret Warriors (2008 - 2011)
Dark Avengers	The Marvel Art of Mike Deodato (2011)
Blazing Skull	New Invaders (2004 - 2005)
Blazing Skull	New Invaders: To End All Wars (2005)
Blackheart	Daredevil (1963 - 1998)
Blackheart	Journey Into Mystery (2011 - Present)
Blackheart	X-Force (1991 - 2004)
Quasar (Wendell Vaughn)	Annihilation: Nova (2006)
Quasar (Wendell Vaughn)	Annihilators (2010 - 2011)
Quasar (Wendell Vaughn)	Annihilators: Earthfall (2011)
Quasar (Wendell Vaughn)	Captain America (1998 - 2002)
Quasar (Wendell Vaughn)	Thanos Imperative (2011)
Quasar (Wendell Vaughn)	The Thanos Imperative: Devastation (2010)
Force Works	Iron Man (1968 - 1996)
Force Works	Marvel Comics Presents (1988 - 1995)
Thor (Ultimate)	The Ultimates Vol. 2: Homeland Security (2004)
Thor (Ultimate)	Ultimate Adventures (2002 - 2003)
Thor (Ultimate)	Ultimate Adventures Vol. 1: One Tin Soldier (2005)
Thor (Ultimate)	Ultimate Adventures Vol. I (2003)
Thor (Ultimate)	Ultimate Comics Avengers Vs New Ultimates (2010 - 2011)
Thor (Ultimate)	Ultimate Comics Spider-Man (2009 - 2012)
Thor (Ultimate)	Ultimate Comics Thor (2010 - 2011)
Thor (Ultimate)	Ultimate Comics Ultimates  (2011 - Present)
Thor (Ultimate)	Ultimate Spider-Man (2000 - 2009)
Thor (Ultimate)	Ultimate Spider-Man Vol. 12: Superstars (2005)
Thor (Ultimate)	Ultimate War (2003)
Thor (Ultimate)	Ultimate X-Men Vol. 5: Ultimate War (1999)
Thor (Ultimate)	Ultimates (2002 - 2003)
Thor (Ultimate)	Ultimates 2 (2004 - 2006)
Thor (Ultimate)	Ultimates 2 Vol. 1: Gods and Monsters (2005)
Thor (Ultimate)	Ultimates 2 Vol. 2: Grand Theft America (2007)
Thor (Ultimate)	Ultimates 3 (2007 - 2008)
Thor (Ultimate)	Ultimates 3: Who Killed the Scarlet Witch? (2009 - Present)
Thor (Ultimate)	Ultimates Vol. 2: Homeland Security (2005)
Spider-Man (Ai Apaec)	New Avengers (2010 - 2012)
Millie the Model	Millie the Model (1945 - 1965)
Millie the Model	Modelling with Millie (1963 - 1966)
Goblin Queen	Uncanny X-Men (1963 - 2011)
Goblin Queen	What If? (1989 - 1998)
Goblin Queen	X-Factor (1986 - 1998)
Goblin Queen	X-Force (1991 - 2004)
Goblin Queen	X-Men (1991 - 2001)
Goblin Queen	X-Men: Mutant Genesis (2006)
Rockslide	Cable (2008 - 2010)
Rockslide	New X-Men (2004 - 2008)
Rockslide	New X-Men: Childhood's End Vol. 2 (2006)
Rockslide	New X-Men: Childhood's End Vol. 4 (2007)
Rockslide	New X-Men: Hellions (2005)
Rockslide	Runaways (2008 - 2009)
Rockslide	Wolverine & Jubilee (2010 - 2011)
Marvel Boy	Agents of Atlas (2006 - 2007)
Marvel Boy	Agents of Atlas (2009)
Marvel Boy	Agents of Atlas (2007)
Marvel Boy	Annihilation Classic (2008)
Marvel Boy	Astonishing (1951 - 1957)
Marvel Boy	Avengers Forever (1998 - 2001)
Marvel Boy	Avengers Legends Vol. I: Avengers Forever (2002)
Marvel Boy	Daring Mystery Comics (1944 - 1945)
Marvel Boy	Dark Avengers (2009 - 2010)
Marvel Boy	Fantastic Four (1961 - 1998)
Marvel Boy	Marvel Boy (1950 - 1951)
Marvel Boy	Marvel Boy (2008)
Marvel Boy	Marvel Boy (2000 - 2001)
Marvel Boy	Marvel Boy Premiere (2008)
Marvel Boy	Marvel Masterworks: Atlas Era Heroes Vol. (2007)
Marvel Boy	Marvel Super-Heroes (1967 - 1982)
Marvel Boy	Marvelman Family's Finest (2010 - Present)
Marvel Boy	Marvelman Family's Finest Anglo Variant (DM Only) (2010)
Marvel Boy	Quasar (1999 - 1994)
Marvel Boy	Quasar (1989 - 1994)
Ancient One	Doctor Strange, Sorcerer Supreme (1988 - 1996)
Ancient One	Marvel Masterworks: Doctor Strange Vol. (2005)
Ancient One	Strange Tales (1951 - 1968)
Ancient One	What If? (1989 - 1998)
Spot	Amazing Spider-Man (1999 - 2013)
Spot	Fantastic Four (1998 - 2012)
Mother Askani	Cable (1993 - 2002)
Wind Dancer	New Warriors (2007 - 2009)
Mary Jane Watson (Ultimate)	Ultimate Comics Spider-Man (2011 - Present)
Mary Jane Watson (Ultimate)	Ultimate Fallout (2011)
Mary Jane Watson (Ultimate)	Ultimate Spider-Man (2000 - 2009)
Mary Jane Watson (Ultimate)	Ultimate Spider-Man Ultimate Collection Book 1 (2007)
Mary Jane Watson (Ultimate)	Ultimate Spider-Man Vol. 13: Hobgoblin (2005)
Mary Jane Watson (Ultimate)	Ultimate Spider-Man Vol. 1: Power & Responsibility (1999)
Mary Jane Watson (Ultimate)	Ultimate Spider-Man: Free Comic Book Day Edition (2002)
Green Goblin (Ultimate)	Ultimate Spider-Man (2000 - 2009)
Green Goblin (Ultimate)	Ultimate Spider-Man Vol. 19: Death of a Goblin (2008)
Diablo	Amazing Spider-Man (1999 - 2013)
Diablo	Avengers (1998 - 2004)
Diablo	Avengers Assemble Vol. 4 (2007)
Diablo	Fantastic Four (1961 - 1998)
Diablo	Fantastic Four (1998 - 2012)
Diablo	Fantastic Four Omnibus Vol. 1 (2007)
Diablo	Fantastic Four Omnibus Vol. 2 (2007)
Diablo	Iron Man (1968 - 1996)
Diablo	Iron Man/Thor (2010 - 2011)
Diablo	Marvel Super-Heroes (1992 - 1993)
Diablo	Marvel Super-Heroes (1967 - 1982)
Diablo	Marvel Visionaries: Steve Ditko (2005)
H.A.M.M.E.R.	Avengers: The Initiative (2007 - 2010)
Guardian	Alpha Flight (1983 - 1994)
Guardian	Alpha Flight Classic Vol. 1 (2007)
Guardian	Black Panther (1998 - 2003)
Guardian	Earth X (1999)
Guardian	Earth X (New (2006)
Guardian	Fantastic Four (1961 - 1998)
Guardian	Fantastic Four (1996 - 1997)
Guardian	Heroes Reborn: Fantastic Four (2006)
Guardian	Infinity War (2005)
Guardian	Paradise X (2002 - 2003)
Guardian	Paradise X Vol. 1 (2007)
Guardian	Paradise X Vol. 2 (New Printing) (2007)
Guardian	Uncanny X-Men (1963 - 2011)
Guardian	Warlock and the Infinity Watch (1992 - 1995)
Guardian	Wolverine (1988 - 2003)
Guardian	X-Men Unlimited (1993 - 1999)
A.I.M.	Ant-Man & the Wasp (2010 - 2011)
A.I.M.	Avengers (1998 - 2004)
A.I.M.	Avengers (1963 - 1996)
A.I.M.	Avengers Vol. 2: Red Zone (2003)
A.I.M.	Avengers Vol. II: Red Zone (2003)
A.I.M.	Captain America (1998 - 2002)
A.I.M.	Defenders (1972 - 1986)
A.I.M.	Incredible Hulks (2009 - 2011)
A.I.M.	Marvel Adventures Super Heroes (2010 - 2012)
A.I.M.	Marvel Masterworks: Captain America Vol. (2005)
A.I.M.	Marvel Masterworks: Captain America Vol. 1 - 2nd Edition (2003)
A.I.M.	Marvel Masterworks: Doctor Strange Vol. (2005)
A.I.M.	Marvel Masterworks: The Invincible Iron Man Vol. (2005)
A.I.M.	Marvel Masterworks: The Invincible Iron Man Vol. 1 (0000 - Present)
A.I.M.	Marvel Masterworks: The Silver Surfer Vol. 2 (2003)
A.I.M.	Strange Tales (1951 - 1968)
A.I.M.	Tales of Suspense (1959 - 1968)
A.I.M.	Tales of Suspsnse Transport (1959 - 1968)
A.I.M.	Taskmaster (2010 - Present)
A.I.M.	Uncanny X-Men (1963 - 2011)
Dagger	Amazing Spider-Man (1999 - 2013)
Dagger	Civil War (2006 - 2007)
Dagger	Cloak and Dagger (2010)
Dagger	Doctor Strange, Sorcerer Supreme (1988 - 1996)
Dagger	Marvel Fanfare (1982 - 1992)
Dagger	Marvel Knights (2000 - 2001)
Dagger	Marvel Visionaries: Roy Thomas (2006)
Dagger	Peter Parker, the Spectacular Spider-Man (1976 - 1998)
Dagger	Power Pack Classic Vol. 3 (2010 - Present)
Dagger	Runaways: Teenage Wasteland (2011 - Present)
Dagger	Spider-Island: Cloak & Dagger (2011)
Dagger	Uncanny X-Men (1963 - 2011)
Redwing	Avengers (1963 - 1996)
Redwing	Captain America (2004 - 2011)
Redwing	Captain America and the Falcon (2010 - 2011)
Redwing	Heroes for Hire (2010 - 2011)
Beyonder	New Mutants (1983 - 1991)
Beyonder	Shame Itself (2011)
Nova	Alpha Flight (1983 - 1994)
Nova	Amazing Spider-Man (1963 - 1998)
Nova	Annihilation (2006 - 2007)
Nova	Annihilation Classic (2008)
Nova	Avengers (1998 - 2004)
Nova	Avengers Assemble Vol. 2 (2005)
Nova	Avengers Assemble Vol. 3 (2006)
Nova	Avengers Assemble Vol. 4 (2007)
Nova	Avengers: We Are the Avengers (2010 - Present)
Nova	Defenders (1972 - 1986)
Nova	Doctor Strange, Sorcerer Supreme (1988 - 1996)
Nova	Fantastic Four (1961 - 1998)
Nova	Fantastic Four Visionaries: John Byrne Vol. 4 (2001 - Present)
Nova	Heralds (2010 - Present)
Nova	Infinity War (2005)
Nova	Iron Man (1968 - 1996)
Nova	Last Hero Standing (2005)
Nova	Last Hero Standing (2005)
Nova	Marvel Adventures Super Heroes (2010 - 2012)
Nova	Marvel Adventures Super Heroes Vol. 7 Digest (2011)
Wiccan	Avengers: The Children's Crusade - Young Avengers (2010 - 2011)
Wiccan	Avengers: The Childrens Crusade (2010 - 2012)
Wiccan	Avengers: The Initiative (2007 - 2010)
Wiccan	Civil War (2006 - 2007)
Wiccan	Mighty Avengers (2007 - 2010)
Wiccan	Siege: Young Avengers (2010)
Wiccan	Young Avengers (2005 - 2006)
Wiccan	Young Avengers Vol. 1: Sidekicks (2006)
Wiccan	Young Avengers Vol. 1: Sidekicks (2005)
Wiccan	Young Avengers Vol. 2: Family Matters (2007)
Contessa (Vera Vidal)	Immortal Iron Fist (2006 - 2009)
ClanDestine	Clandestine (2008)
ClanDestine	Clandestine (1994 - 1995)
ClanDestine	Clandestine Classic Premiere (2008)
Deadpool	5 Ronin (2010)
Deadpool	5 Ronin (2011)
Deadpool	Amazing Spider-Man (1999 - 2013)
Deadpool	Avengers: The Initiative (2007 - 2010)
Deadpool	Cable (2008 - 2010)
Deadpool	Cable & Deadpool (2004 - 2008)
Deadpool	Cable & Deadpool MGC (2011)
Deadpool	Cable & Deadpool Vol. 1: If Looks Could Kill (2007)
Deadpool	Cable & Deadpool Vol. 2: The Burnt Offering (2007)
Deadpool	Cable & Deadpool Vol. 3: The Human Race (2005)
Deadpool	Cable & Deadpool Vol. 4: Bosom Buddies (2006)
Deadpool	Cable & Deadpool Vol. 5: Living Legends (2006)
Deadpool	Cable & Deadpool Vol. 6: Paved with Good Intentions (2007)
Deadpool	Cable & Deadpool Vol. 7: Separation Anxiety (2007)
Deadpool	Cable/Deadpool Vol. 3: The Human Race (2005)
Deadpool	Cable/Deadpool Vol. 4: Bosom Buddies (2006)
Deadpool	Civil War: X-Men (2011)
Deadpool	Civil War: X-Men Universe (2007)
Deadpool	Dark Reign:Deadpool/Thunderbolts (2009 - Present)
Deadpool	Deadpool (2010)
Battering Ram	X-Force (1991 - 2004)
Battering Ram	X-Force: Famous, Mutant & Mortal (2003)
Arcade	Agent X (2002 - 2004)
Arcade	Classic X-Men (1986 - 1990)
Arcade	Excalibur (1988 - 1998)
Arcade	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Arcade	Marvel Masterworks: The Uncanny X-Men Vol. 6 (2008)
Arcade	Marvel Masterworks: The Uncanny X-Men Vol. 6 (2008)
Arcade	Uncanny X-Men (1963 - 2011)
Arcade	Uncanny X-Men Omnibus Vol. 1 (2006)
Arcade	X-Force (1991 - 2004)
Arcade	X-Men (1991 - 2001)
Arcade	X-Men: Mutant Genesis (2006)
Arcade	X-Men: Prime (1995)
Arcade	X-Men: The Complete Age of Apocalypse Epic Book 4 (2006)
Photon	Avengers (1998 - 2004)
Photon	Avengers (1963 - 1996)
Photon	Avengers Assemble (2004)
